Bus Route Number,Source Location,Destination Location,Type of Bus,Time
83A,Virudhunagar,Krishnagiri,Express,15:13
39D,Pudukkottai,Tiruvallur,Express,12:38
14D,Tiruchirappalli,Madurai,Government,17:47
56C,Chennai,Tiruppur,Non-AC,14:53
74A,Kanchipuram,Nagapattinam,Express,11:21
43C,Hosur,Ariyalur,Express,04:28
64A,Nagercoil,Namakkal,Government,19:42
64D,Nagercoil,Nagapattinam,Government,07:10
69C,Salem,Karur,Non-AC,10:42
5C,Coimbatore,Nagapattinam,AC,20:58
40D,Salem,Thoothukudi,Private,23:10
17D,Thanjavur,Nagercoil,Non-AC,20:16
65C,Ramanathapuram,Nagapattinam,Non-AC,17:46
60C,Ramanathapuram,Hosur,AC,06:00
9B,Ariyalur,Dindigul,Government,10:38
84D,Tiruppur,Karur,Non-AC,22:34
59C,Hosur,Chennai,Private,07:26
54B,Namakkal,Nagercoil,Government,20:45
61A,Erode,Chennai,Government,20:49
67C,Vellore,Salem,AC,05:17
23D,Sivakasi,Chennai,Private,16:13
56C,Chennai,Vellore,AC,07:22
19D,Karur,Nagercoil,Private,07:43
60B,Hosur,Ariyalur,Non-AC,02:59
33D,Pudukkottai,Ariyalur,Express,19:00
55B,Kanchipuram,Tiruchirappalli,Private,08:47
76B,Nagapattinam,Chennai,Government,07:05
64C,Salem,Kanchipuram,Private,07:43
38C,Madurai,Kanchipuram,Express,23:58
14C,Chennai,Tirunelveli,Express,07:24
95B,Karur,Tirunelveli,Government,10:28
57C,Hosur,Cuddalore,Non-AC,08:39
81B,Pudukkottai,Ramanathapuram,Private,14:26
21A,Hosur,Vellore,AC,13:15
25D,Tiruppur,Namakkal,Private,22:22
70C,Virudhunagar,Hosur,Private,20:39
4D,Tiruppur,Kanchipuram,Government,04:15
77B,Dharmapuri,Coimbatore,Private,03:21
34D,Dindigul,Tiruppur,AC,09:33
69C,Sivakasi,Pudukkottai,Express,07:19
41C,Virudhunagar,Nagapattinam,Government,23:11
34C,Tiruvallur,Namakkal,Non-AC,03:34
32B,Chennai,Thanjavur,Private,01:18
76B,Thoothukudi,Tiruvannamalai,Non-AC,07:05
19D,Tiruvannamalai,Madurai,Express,13:28
18D,Erode,Dharmapuri,Private,12:36
89B,Ramanathapuram,Sivakasi,Non-AC,03:36
73A,Vellore,Cuddalore,Express,19:53
15B,Sivakasi,Dharmapuri,Non-AC,03:18
51B,Dindigul,Erode,Government,09:55
38D,Hosur,Nagapattinam,Express,14:19
15D,Perambalur,Tiruppur,Non-AC,00:43
44B,Hosur,Salem,Non-AC,01:49
79C,Perambalur,Dharmapuri,Government,00:06
3B,Tiruchirappalli,Chennai,Government,15:57
49B,Krishnagiri,Chennai,Non-AC,16:56
2D,Namakkal,Kanchipuram,AC,15:31
4A,Madurai,Hosur,Express,20:36
97A,Thanjavur,Ramanathapuram,AC,10:24
41D,Thanjavur,Salem,Government,13:12
30C,Krishnagiri,Tiruchirappalli,AC,06:02
73D,Virudhunagar,Vellore,Non-AC,12:56
52C,Namakkal,Vellore,Private,22:22
38A,Nagercoil,Dindigul,Non-AC,14:01
35C,Tiruppur,Ramanathapuram,Express,00:02
68D,Dindigul,Namakkal,Non-AC,21:25
75C,Coimbatore,Cuddalore,Non-AC,18:19
28B,Nagercoil,Tiruvannamalai,Private,03:48
2B,Tiruvannamalai,Dharmapuri,Government,02:14
54C,Vellore,Namakkal,Government,13:36
86B,Cuddalore,Ramanathapuram,Non-AC,23:33
95B,Thoothukudi,Dharmapuri,Government,15:59
60C,Kanchipuram,Nagapattinam,Express,07:08
73C,Tirunelveli,Thoothukudi,Government,09:00
58B,Dindigul,Karur,AC,18:07
75D,Madurai,Pudukkottai,Private,07:24
92A,Namakkal,Hosur,Express,14:28
13A,Tirunelveli,Sivakasi,Express,02:06
18B,Karur,Krishnagiri,AC,09:56
36B,Dharmapuri,Tiruchirappalli,Express,23:31
57A,Kanchipuram,Chennai,Express,07:53
72A,Kanchipuram,Madurai,Non-AC,13:31
38B,Cuddalore,Thoothukudi,AC,04:01
23B,Virudhunagar,Krishnagiri,Government,22:50
61D,Nagercoil,Dharmapuri,AC,22:25
7A,Nagapattinam,Namakkal,AC,15:06
58A,Dindigul,Krishnagiri,Government,17:48
64A,Madurai,Tiruvannamalai,AC,05:36
28A,Ariyalur,Tiruppur,Express,07:51
87C,Sivakasi,Karur,Government,19:46
48A,Tiruvallur,Chennai,AC,09:48
99B,Nagercoil,Tiruvannamalai,Private,20:42
64D,Chennai,Karur,Government,21:36
87A,Coimbatore,Ramanathapuram,Private,06:19
45B,Sivakasi,Coimbatore,AC,06:46
59C,Sivakasi,Perambalur,Private,14:43
12D,Tiruvannamalai,Vellore,Government,14:47
68A,Krishnagiri,Tirunelveli,Non-AC,23:06
83B,Tirunelveli,Virudhunagar,AC,19:50
17B,Ramanathapuram,Dindigul,Government,18:45
65B,Kanchipuram,Namakkal,Private,04:38
15B,Tirunelveli,Thoothukudi,Government,22:24
22A,Nagercoil,Nagapattinam,Express,12:15
23B,Nagapattinam,Hosur,Private,19:19
94D,Cuddalore,Tiruchirappalli,AC,10:52
66D,Nagapattinam,Perambalur,Non-AC,10:55
26C,Nagapattinam,Karur,Non-AC,12:17
60A,Salem,Vellore,Private,23:57
14B,Sivakasi,Tiruvallur,Non-AC,19:18
73D,Tiruppur,Perambalur,Private,04:20
52C,Tiruvannamalai,Pudukkottai,Government,04:59
48D,Tiruvannamalai,Krishnagiri,AC,22:05
42D,Karur,Perambalur,Government,07:23
48C,Nagercoil,Tiruppur,Private,18:45
19B,Salem,Tiruvannamalai,Government,13:09
8D,Tiruchirappalli,Krishnagiri,Express,10:49
40B,Sivakasi,Krishnagiri,Private,15:02
39D,Tiruvannamalai,Namakkal,Private,21:03
91D,Tiruvallur,Tiruchirappalli,AC,02:25
87D,Karur,Ramanathapuram,Government,13:29
54D,Sivakasi,Krishnagiri,AC,20:26
32A,Karur,Coimbatore,AC,20:35
75B,Dindigul,Tiruvannamalai,AC,07:28
95C,Dindigul,Sivakasi,Express,23:51
11D,Perambalur,Hosur,Government,05:07
96D,Hosur,Virudhunagar,Non-AC,18:14
81A,Madurai,Sivakasi,Non-AC,07:16
34D,Sivakasi,Tirunelveli,Express,22:17
1B,Sivakasi,Ariyalur,Express,16:16
40D,Pudukkottai,Salem,Express,13:53
11D,Tiruchirappalli,Coimbatore,Private,22:46
87D,Perambalur,Erode,Private,22:44
33C,Dindigul,Nagapattinam,Government,18:03
60C,Chennai,Ramanathapuram,Government,04:44
11C,Kanchipuram,Ramanathapuram,Private,07:59
96B,Ariyalur,Coimbatore,Non-AC,13:16
58C,Namakkal,Krishnagiri,Non-AC,13:44
14A,Thanjavur,Pudukkottai,Express,16:23
54B,Krishnagiri,Dharmapuri,AC,04:23
40B,Krishnagiri,Tiruvannamalai,Non-AC,00:22
31C,Salem,Thoothukudi,Government,01:32
98B,Thoothukudi,Perambalur,Non-AC,19:30
2D,Virudhunagar,Salem,Government,20:12
30C,Coimbatore,Hosur,Non-AC,19:43
37D,Hosur,Tiruvallur,Non-AC,19:03
59B,Madurai,Nagapattinam,Private,19:18
78B,Namakkal,Dindigul,Private,13:42
93A,Krishnagiri,Dindigul,Express,00:45
70D,Virudhunagar,Krishnagiri,Non-AC,06:24
2B,Virudhunagar,Perambalur,Express,10:01
3C,Erode,Sivakasi,Private,05:28
63C,Vellore,Namakkal,Private,01:27
21D,Hosur,Karur,AC,17:31
81C,Pudukkottai,Karur,Non-AC,11:27
35B,Ariyalur,Thoothukudi,AC,11:00
6D,Thoothukudi,Tiruvallur,Express,10:08
81C,Pudukkottai,Namakkal,Government,04:24
14D,Namakkal,Cuddalore,AC,11:49
21C,Erode,Tiruvallur,AC,18:23
70A,Madurai,Cuddalore,Express,10:24
11D,Chennai,Madurai,Private,18:46
27C,Thanjavur,Vellore,Non-AC,16:34
66C,Thanjavur,Tiruppur,Non-AC,14:55
73D,Perambalur,Kanchipuram,Private,00:10
44B,Namakkal,Salem,Private,06:54
32D,Perambalur,Tiruppur,AC,16:37
20A,Salem,Sivakasi,Non-AC,22:31
75A,Tiruchirappalli,Nagercoil,Government,01:42
19B,Nagapattinam,Namakkal,Private,12:26
85A,Tiruppur,Salem,Express,16:23
40C,Coimbatore,Tirunelveli,AC,23:54
41B,Tirunelveli,Nagapattinam,Private,06:43
90D,Salem,Pudukkottai,Government,13:36
32C,Sivakasi,Chennai,Express,15:45
71C,Chennai,Dindigul,Express,00:56
87D,Salem,Thanjavur,Government,12:53
90C,Tiruchirappalli,Coimbatore,AC,05:09
41A,Coimbatore,Dharmapuri,Private,17:52
95C,Karur,Coimbatore,Express,07:50
49B,Sivakasi,Salem,AC,20:20
51D,Chennai,Tiruvannamalai,Non-AC,09:18
68B,Kanchipuram,Vellore,Private,18:27
70A,Ramanathapuram,Tiruvallur,Government,05:02
9C,Chennai,Coimbatore,AC,12:25
10B,Kanchipuram,Chennai,Private,21:01
86D,Cuddalore,Nagercoil,Government,11:44
27C,Coimbatore,Cuddalore,Government,05:11
58B,Tiruvannamalai,Tiruchirappalli,AC,22:02
9D,Tirunelveli,Karur,Government,20:47
75A,Nagercoil,Cuddalore,Non-AC,04:59
92A,Erode,Ramanathapuram,Non-AC,12:20
10B,Namakkal,Tiruvannamalai,AC,13:52
63B,Perambalur,Hosur,Private,08:48
19C,Tiruvannamalai,Namakkal,AC,13:24
34A,Karur,Tirunelveli,Private,00:47
90C,Ariyalur,Cuddalore,Non-AC,15:47
91A,Ramanathapuram,Tiruchirappalli,Private,12:30
57A,Nagercoil,Thanjavur,Private,05:15
69C,Perambalur,Madurai,Government,04:35
18B,Kanchipuram,Cuddalore,AC,05:55
16C,Dindigul,Thoothukudi,Government,11:07
97D,Dindigul,Karur,AC,20:49
66D,Vellore,Cuddalore,Private,10:49
69B,Nagapattinam,Karur,Non-AC,23:21
66C,Hosur,Coimbatore,Non-AC,01:43
25D,Karur,Perambalur,AC,16:17
49A,Coimbatore,Sivakasi,AC,02:43
55A,Tiruppur,Coimbatore,Express,17:52
41A,Tiruvannamalai,Tiruchirappalli,AC,11:25
80D,Coimbatore,Virudhunagar,Government,19:22
14D,Tiruvannamalai,Thanjavur,AC,14:29
84D,Dindigul,Krishnagiri,AC,23:06
9C,Salem,Coimbatore,Private,17:03
90A,Ramanathapuram,Dharmapuri,AC,05:57
72A,Ariyalur,Dharmapuri,Express,01:44
82B,Coimbatore,Pudukkottai,Non-AC,05:02
42C,Salem,Chennai,Non-AC,11:52
8B,Kanchipuram,Nagapattinam,Non-AC,08:39
72D,Pudukkottai,Ariyalur,Government,19:12
68C,Sivakasi,Madurai,Express,11:48
99B,Perambalur,Nagapattinam,Government,09:26
65C,Chennai,Perambalur,Express,00:42
34C,Nagapattinam,Perambalur,AC,07:32
85B,Salem,Sivakasi,Government,05:42
2C,Tiruppur,Thanjavur,Private,21:49
7A,Chennai,Vellore,Government,14:17
63B,Tirunelveli,Tiruppur,Express,21:40
79B,Dharmapuri,Perambalur,Private,07:43
26D,Perambalur,Cuddalore,Non-AC,01:17
47B,Thanjavur,Ariyalur,AC,04:19
69D,Tiruvannamalai,Salem,Government,19:10
71D,Perambalur,Nagapattinam,Express,05:20
14C,Tiruvallur,Nagercoil,Express,07:03
29C,Nagercoil,Krishnagiri,Private,01:37
85D,Ariyalur,Tiruchirappalli,Non-AC,13:42
17A,Dindigul,Tiruppur,Express,13:07
66A,Namakkal,Tiruvannamalai,Non-AC,19:13
50C,Nagapattinam,Salem,Non-AC,15:27
50A,Sivakasi,Thanjavur,AC,03:05
89D,Salem,Tiruvannamalai,Non-AC,08:25
76B,Erode,Thoothukudi,Express,13:19
51D,Coimbatore,Dindigul,Government,00:49
47A,Thoothukudi,Hosur,Express,23:17
31D,Tiruvannamalai,Karur,Express,03:47
17C,Tiruppur,Karur,Private,16:44
79C,Tiruchirappalli,Nagercoil,Express,10:57
43D,Dharmapuri,Madurai,Non-AC,05:45
63C,Thanjavur,Nagapattinam,Non-AC,03:12
2B,Namakkal,Karur,AC,00:46
30A,Coimbatore,Virudhunagar,Express,10:06
80C,Tirunelveli,Namakkal,Government,05:02
90C,Dharmapuri,Erode,Government,00:56
9D,Tiruppur,Krishnagiri,Express,19:36
52C,Sivakasi,Tiruchirappalli,AC,13:45
40C,Coimbatore,Dindigul,Government,02:56
70B,Kanchipuram,Cuddalore,Private,09:28
59B,Thoothukudi,Virudhunagar,Government,00:06
76D,Cuddalore,Thoothukudi,Private,00:16
59B,Coimbatore,Tiruvannamalai,AC,15:07
77A,Krishnagiri,Dharmapuri,Government,18:19
27C,Nagercoil,Thoothukudi,Non-AC,22:45
36B,Nagercoil,Coimbatore,AC,20:25
80D,Ariyalur,Virudhunagar,Private,10:28
57B,Tiruvannamalai,Karur,Government,15:50
38B,Coimbatore,Erode,Private,19:12
69C,Nagercoil,Karur,Non-AC,07:52
25B,Perambalur,Sivakasi,Government,05:30
42D,Sivakasi,Kanchipuram,AC,03:52
86B,Tirunelveli,Vellore,Private,21:59
85A,Madurai,Virudhunagar,Non-AC,07:46
67D,Hosur,Virudhunagar,Express,22:00
80D,Coimbatore,Salem,AC,22:26
61B,Tiruppur,Perambalur,AC,19:31
10D,Virudhunagar,Ramanathapuram,AC,08:00
88C,Ariyalur,Kanchipuram,Private,05:00
56C,Coimbatore,Salem,Government,13:54
31C,Madurai,Perambalur,Private,01:08
97A,Dindigul,Madurai,Private,23:34
16B,Nagercoil,Pudukkottai,AC,22:39
47A,Kanchipuram,Thoothukudi,Express,23:56
84C,Nagapattinam,Pudukkottai,Government,18:59
78A,Kanchipuram,Pudukkottai,Non-AC,10:08
66D,Tiruchirappalli,Salem,Non-AC,23:51
19B,Chennai,Vellore,Non-AC,01:32
63A,Dharmapuri,Krishnagiri,Government,15:13
77D,Namakkal,Tiruvallur,Non-AC,05:27
76A,Salem,Chennai,Government,05:55
46A,Tirunelveli,Nagapattinam,Government,14:02
22C,Tiruvallur,Vellore,AC,07:46
53C,Nagercoil,Krishnagiri,Government,03:29
88B,Thoothukudi,Tirunelveli,Express,22:11
10C,Tirunelveli,Erode,Express,07:57
31D,Virudhunagar,Coimbatore,AC,01:06
87D,Thoothukudi,Tiruppur,Government,22:03
62D,Tiruvannamalai,Hosur,Government,21:58
10D,Tiruchirappalli,Dharmapuri,Government,21:58
81A,Nagercoil,Tiruppur,Express,21:57
20A,Tiruppur,Vellore,Government,09:21
4A,Thoothukudi,Tirunelveli,Government,15:49
55A,Thanjavur,Hosur,Non-AC,09:30
94C,Ramanathapuram,Nagapattinam,Government,18:02
64C,Salem,Thoothukudi,Government,21:59
74C,Namakkal,Thanjavur,Non-AC,06:00
38D,Tiruvallur,Nagapattinam,AC,06:26
19A,Virudhunagar,Thoothukudi,Private,09:53
8A,Hosur,Pudukkottai,Express,12:00
11C,Ariyalur,Kanchipuram,AC,19:06
77D,Salem,Dharmapuri,Non-AC,01:08
1C,Virudhunagar,Dharmapuri,Express,13:43
2C,Namakkal,Tiruvallur,Private,13:23
37A,Tiruvannamalai,Erode,Express,18:43
4C,Nagapattinam,Pudukkottai,AC,20:22
59D,Thoothukudi,Tiruvannamalai,Government,15:29
66A,Coimbatore,Ariyalur,Private,17:16
81C,Hosur,Nagercoil,AC,15:21
58A,Thanjavur,Salem,Private,06:27
11D,Dharmapuri,Tirunelveli,AC,10:42
36A,Pudukkottai,Vellore,Non-AC,01:43
19D,Tirunelveli,Nagercoil,AC,22:37
93B,Krishnagiri,Dharmapuri,Non-AC,12:43
96C,Chennai,Erode,Non-AC,03:57
38A,Ramanathapuram,Tiruchirappalli,Non-AC,10:04
49D,Dindigul,Tirunelveli,AC,22:00
95B,Dindigul,Madurai,Non-AC,03:39
97A,Krishnagiri,Vellore,Private,14:52
58B,Dharmapuri,Coimbatore,Express,11:20
38B,Tiruvallur,Tiruvannamalai,Government,05:20
68D,Karur,Krishnagiri,Government,15:23
33D,Sivakasi,Pudukkottai,Non-AC,06:59
64A,Thanjavur,Ariyalur,Private,07:30
58D,Tiruppur,Hosur,Non-AC,23:32
83C,Vellore,Krishnagiri,Express,03:40
92B,Thoothukudi,Kanchipuram,Express,03:31
50C,Sivakasi,Madurai,Express,01:00
66A,Coimbatore,Tiruvannamalai,Express,06:59
62C,Salem,Virudhunagar,Government,18:52
47B,Madurai,Thoothukudi,Private,16:15
62C,Nagapattinam,Coimbatore,AC,01:15
43D,Vellore,Sivakasi,Private,11:30
19A,Tiruvannamalai,Chennai,Non-AC,09:37
6D,Nagapattinam,Tiruchirappalli,Express,02:52
11A,Dindigul,Tiruvallur,Government,05:52
64C,Thoothukudi,Coimbatore,Government,11:15
35C,Thoothukudi,Thanjavur,Government,11:35
19B,Hosur,Perambalur,Express,07:28
72A,Karur,Pudukkottai,Government,14:55
84A,Tiruchirappalli,Krishnagiri,Government,20:14
22B,Perambalur,Pudukkottai,AC,02:48
76C,Perambalur,Tiruchirappalli,Government,09:12
17D,Sivakasi,Tiruvallur,Government,07:10
36A,Tiruchirappalli,Dharmapuri,Non-AC,02:41
59A,Tiruppur,Namakkal,Government,21:48
20A,Thanjavur,Thoothukudi,Non-AC,06:20
12C,Erode,Dharmapuri,Non-AC,04:19
50A,Chennai,Tiruchirappalli,Private,00:18
64D,Ariyalur,Karur,Non-AC,13:24
5D,Thanjavur,Cuddalore,Non-AC,09:30
80B,Nagercoil,Sivakasi,Government,00:51
16B,Tiruvannamalai,Coimbatore,Express,03:31
22B,Nagapattinam,Erode,AC,11:27
93A,Coimbatore,Kanchipuram,Express,16:03
84B,Namakkal,Vellore,Government,19:15
62D,Tiruvannamalai,Thoothukudi,AC,13:47
24B,Karur,Tiruvannamalai,Express,22:06
23B,Kanchipuram,Tirunelveli,AC,07:09
36C,Tirunelveli,Madurai,Express,04:44
10D,Tiruppur,Krishnagiri,AC,11:48
93B,Namakkal,Dharmapuri,AC,22:00
82C,Ariyalur,Thoothukudi,AC,14:31
99B,Dindigul,Madurai,AC,12:29
20C,Chennai,Madurai,Private,01:40
10D,Pudukkottai,Nagercoil,Private,05:18
21D,Perambalur,Nagercoil,AC,00:20
61B,Tiruvannamalai,Dharmapuri,Non-AC,10:00
83B,Ramanathapuram,Pudukkottai,Non-AC,17:31
20A,Tiruvallur,Madurai,Express,04:47
1D,Tiruvannamalai,Cuddalore,Express,17:42
93D,Coimbatore,Perambalur,Non-AC,16:28
59B,Tiruvallur,Pudukkottai,AC,11:14
93D,Cuddalore,Namakkal,Express,04:47
47A,Dindigul,Dharmapuri,Express,20:34
32B,Vellore,Ariyalur,Private,18:45
87C,Nagapattinam,Erode,Private,09:04
19C,Dindigul,Perambalur,AC,15:13
5D,Ariyalur,Nagercoil,Government,16:57
13D,Krishnagiri,Tiruvallur,Express,13:42
69B,Salem,Cuddalore,AC,16:44
33B,Thanjavur,Hosur,Government,00:34
14D,Vellore,Sivakasi,Non-AC,11:21
83C,Dharmapuri,Erode,Express,18:43
10A,Dharmapuri,Thoothukudi,Government,15:05
97D,Salem,Dharmapuri,Non-AC,09:55
99B,Ramanathapuram,Virudhunagar,Government,04:37
83A,Tiruchirappalli,Cuddalore,AC,04:06
16D,Madurai,Vellore,Government,01:55
66D,Coimbatore,Tiruvannamalai,AC,14:21
57C,Hosur,Nagercoil,AC,08:55
39D,Erode,Tiruchirappalli,Private,21:46
21A,Karur,Hosur,AC,11:02
53B,Erode,Perambalur,AC,12:12
66D,Tiruvannamalai,Virudhunagar,AC,12:55
48C,Karur,Kanchipuram,AC,15:29
64B,Vellore,Tiruvallur,AC,14:46
24C,Tiruvannamalai,Vellore,Government,02:37
44A,Vellore,Krishnagiri,AC,22:20
16A,Kanchipuram,Tirunelveli,Express,01:40
26C,Madurai,Cuddalore,AC,09:18
72C,Tirunelveli,Nagercoil,AC,19:23
49A,Tirunelveli,Salem,AC,13:55
91A,Tiruppur,Dindigul,AC,20:53
52D,Tiruchirappalli,Dharmapuri,AC,12:46
96B,Dharmapuri,Thoothukudi,Non-AC,03:04
66D,Tiruppur,Cuddalore,AC,07:13
93D,Salem,Tiruvallur,Private,14:10
19B,Chennai,Thanjavur,Government,18:18
4B,Namakkal,Thoothukudi,Non-AC,15:32
70A,Tirunelveli,Madurai,Non-AC,14:13
73A,Salem,Virudhunagar,Private,03:38
14B,Krishnagiri,Tiruvannamalai,Private,18:58
71A,Namakkal,Tirunelveli,Express,10:04
39A,Krishnagiri,Ariyalur,Private,04:08
41B,Madurai,Tiruchirappalli,Non-AC,12:28
94B,Chennai,Tiruppur,Express,15:57
71D,Salem,Krishnagiri,Government,07:26
21B,Coimbatore,Dharmapuri,Private,03:13
1B,Nagercoil,Coimbatore,AC,12:40
27C,Salem,Dindigul,Government,00:38
79C,Nagapattinam,Tiruchirappalli,Private,20:35
22B,Tiruppur,Hosur,Private,22:47
77D,Dindigul,Perambalur,Express,21:31
53D,Erode,Salem,Government,21:30
57B,Ramanathapuram,Tiruppur,Government,21:13
93C,Dharmapuri,Pudukkottai,Government,01:02
80C,Nagapattinam,Ariyalur,Government,00:58
57A,Dindigul,Ariyalur,AC,04:00
94B,Dharmapuri,Cuddalore,AC,03:03
82B,Cuddalore,Ariyalur,Private,17:04
6B,Tiruppur,Karur,Government,18:58
90B,Vellore,Virudhunagar,Government,02:29
89D,Tiruvannamalai,Tiruvallur,AC,05:52
52C,Tiruvallur,Perambalur,AC,11:17
11B,Tiruvallur,Salem,AC,11:00
5D,Tiruvannamalai,Salem,Non-AC,03:04
39B,Tiruchirappalli,Namakkal,Government,11:59
9B,Tirunelveli,Chennai,Private,21:38
61B,Nagercoil,Erode,Private,09:33
61D,Dharmapuri,Krishnagiri,Non-AC,08:28
30D,Tiruvallur,Thanjavur,AC,08:54
77D,Namakkal,Madurai,Government,17:55
79D,Virudhunagar,Hosur,Government,07:50
47B,Tiruppur,Nagercoil,Express,01:05
30A,Krishnagiri,Chennai,Private,08:52
12D,Karur,Ariyalur,AC,20:56
83A,Salem,Cuddalore,Government,10:44
11C,Sivakasi,Pudukkottai,AC,08:43
13D,Tiruvallur,Tirunelveli,Express,16:40
13D,Tiruchirappalli,Tiruvannamalai,Express,19:54
5C,Ariyalur,Ramanathapuram,Non-AC,16:49
27B,Tiruvannamalai,Salem,Government,13:39
48B,Tiruppur,Kanchipuram,AC,02:25
50D,Karur,Tiruppur,Non-AC,11:38
58B,Salem,Tirunelveli,Private,19:28
23D,Chennai,Hosur,Non-AC,01:33
92B,Chennai,Perambalur,Express,00:20
91D,Chennai,Cuddalore,Non-AC,15:06
34A,Karur,Vellore,Private,14:22
83C,Tiruchirappalli,Perambalur,Express,05:15
65A,Krishnagiri,Nagapattinam,AC,15:01
39A,Dharmapuri,Cuddalore,Non-AC,00:22
92A,Cuddalore,Kanchipuram,Government,01:35
36C,Dindigul,Namakkal,Private,04:14
16A,Krishnagiri,Karur,Non-AC,13:49
86A,Pudukkottai,Erode,Private,01:11
73D,Erode,Sivakasi,Government,06:39
95D,Madurai,Ariyalur,Government,07:06
74D,Coimbatore,Perambalur,Express,13:07
97A,Vellore,Cuddalore,AC,17:26
46D,Tiruvannamalai,Hosur,Express,14:36
40B,Thoothukudi,Kanchipuram,Non-AC,17:10
96D,Karur,Tiruchirappalli,Non-AC,02:12
64C,Coimbatore,Erode,AC,00:50
68A,Thoothukudi,Erode,AC,12:09
59D,Erode,Nagapattinam,Non-AC,13:10
28A,Krishnagiri,Tiruchirappalli,Express,10:43
34D,Pudukkottai,Ramanathapuram,AC,10:26
57A,Madurai,Hosur,Express,03:28
61A,Namakkal,Kanchipuram,Non-AC,14:33
20C,Tiruchirappalli,Hosur,AC,12:55
73D,Perambalur,Krishnagiri,Private,05:07
16C,Madurai,Thoothukudi,Non-AC,17:15
7B,Thoothukudi,Dharmapuri,AC,11:30
19A,Tiruvannamalai,Karur,Private,02:05
38A,Madurai,Tiruchirappalli,Government,04:33
49D,Namakkal,Tiruchirappalli,Private,17:36
20A,Karur,Tiruchirappalli,Private,12:25
20B,Tiruchirappalli,Dharmapuri,Government,10:25
62A,Erode,Tiruppur,Express,08:08
32A,Krishnagiri,Cuddalore,Government,23:14
18B,Chennai,Ramanathapuram,Government,01:45
79A,Virudhunagar,Ramanathapuram,Private,06:09
91C,Ramanathapuram,Madurai,Non-AC,22:54
9A,Karur,Tiruchirappalli,AC,14:12
18B,Tirunelveli,Ariyalur,AC,16:11
4D,Karur,Erode,AC,02:04
54A,Nagapattinam,Sivakasi,Private,23:54
76A,Tiruvannamalai,Hosur,Express,21:24
54A,Tiruvallur,Namakkal,AC,02:52
23C,Salem,Tirunelveli,Government,06:04
63A,Ariyalur,Thanjavur,Government,16:25
99A,Sivakasi,Ariyalur,Private,15:28
73B,Kanchipuram,Dindigul,Express,02:30
30D,Thoothukudi,Ramanathapuram,Private,22:42
44B,Thanjavur,Nagercoil,Express,07:55
94A,Pudukkottai,Namakkal,Government,21:43
2C,Erode,Sivakasi,Government,13:28
87D,Krishnagiri,Tiruvallur,AC,15:24
65D,Virudhunagar,Pudukkottai,AC,18:57
15B,Tirunelveli,Tiruvallur,Non-AC,16:22
72D,Salem,Nagercoil,Government,16:52
96B,Hosur,Namakkal,AC,00:59
50D,Namakkal,Sivakasi,Government,10:38
42A,Ramanathapuram,Erode,AC,11:39
52C,Karur,Tiruchirappalli,Government,04:40
32C,Tiruchirappalli,Namakkal,Express,17:35
82A,Salem,Thoothukudi,Non-AC,02:25
45B,Nagercoil,Nagapattinam,Express,18:29
68D,Tirunelveli,Dindigul,Government,18:14
25A,Thoothukudi,Cuddalore,AC,02:41
32C,Dindigul,Perambalur,Government,17:45
88B,Krishnagiri,Virudhunagar,Government,16:08
77D,Vellore,Chennai,Non-AC,04:41
95A,Thanjavur,Tiruppur,Private,13:58
82C,Krishnagiri,Chennai,Express,01:44
48A,Vellore,Namakkal,AC,08:40
19A,Salem,Tiruppur,Government,10:43
79D,Madurai,Pudukkottai,Private,07:22
2B,Cuddalore,Ariyalur,AC,07:43
6A,Tirunelveli,Karur,Government,23:53
70A,Tiruvallur,Sivakasi,AC,07:48
13C,Karur,Namakkal,Express,22:57
38B,Kanchipuram,Coimbatore,Private,22:29
69B,Erode,Krishnagiri,AC,12:38
42B,Krishnagiri,Namakkal,Non-AC,20:25
32B,Tiruppur,Pudukkottai,Express,18:44
66B,Kanchipuram,Cuddalore,Non-AC,22:16
68D,Coimbatore,Sivakasi,Non-AC,15:56
88A,Cuddalore,Namakkal,Express,22:59
46A,Sivakasi,Ariyalur,AC,11:19
85D,Tiruvannamalai,Dindigul,AC,04:09
90C,Perambalur,Virudhunagar,Government,18:39
68A,Nagercoil,Madurai,AC,00:13
39B,Tiruppur,Nagapattinam,Private,21:52
49C,Thanjavur,Tirunelveli,Express,19:39
57C,Thanjavur,Salem,Private,01:02
74B,Coimbatore,Hosur,Non-AC,03:38
17A,Vellore,Coimbatore,Government,04:01
10A,Sivakasi,Chennai,Non-AC,01:22
11C,Kanchipuram,Madurai,Express,20:43
66D,Cuddalore,Dindigul,Government,22:00
88D,Nagapattinam,Thoothukudi,Non-AC,06:16
44D,Dindigul,Ariyalur,Government,23:32
27B,Ariyalur,Vellore,Government,13:02
67A,Nagapattinam,Tirunelveli,Non-AC,02:11
43B,Madurai,Tiruvallur,Private,06:10
11A,Namakkal,Erode,Private,05:31
53A,Sivakasi,Coimbatore,AC,11:31
61C,Ramanathapuram,Virudhunagar,Private,01:17
42B,Krishnagiri,Karur,Private,05:32
40B,Perambalur,Nagapattinam,Non-AC,13:46
67C,Krishnagiri,Thoothukudi,AC,20:20
78D,Karur,Vellore,Private,03:04
71C,Nagapattinam,Ariyalur,Private,01:38
55C,Tirunelveli,Pudukkottai,Express,08:40
73B,Cuddalore,Vellore,Express,13:45
